"URN","SCHNAME","TOWN","Postcode","ATT8SCR","NUMBOYS","NUMGIRLS","P8MEA","shortPostcode","District","County"
146501,"Astrea Academy Dearne","Rotherham","S639EW",39.6,"585","529",-0.67,"S639","BARNSLEY","SOUTH YORKSHIRE"
131749,"Barnsley Academy","Barnsley","S703DL",43,"465","454",-0.39,"S703","BARNSLEY","SOUTH YORKSHIRE"
130524,"Barnsley College","Barnsley","S702YW",6.5,"NP","NP",-3.2,"S702","BARNSLEY","SOUTH YORKSHIRE"
146320,"Darton Academy","Barnsley","S755EF",48.9,"572","584",0.37,"S755","BARNSLEY","SOUTH YORKSHIRE"
144606,"Holy Trinity Catholic and Church of England School","Barnsley","S712LF",34.2,"565","593",-0.74,"S712","BARNSLEY","SOUTH YORKSHIRE"
146455,"Horizon Community College","Barnsley","S706PD",44.8,"974","1000",-0.07,"S706","BARNSLEY","SOUTH YORKSHIRE"
140979,"Kirk Balk Academy","Barnsley","S749HX",46.8,"674","659",-0.13,"S749","BARNSLEY","SOUTH YORKSHIRE"
143907,"Netherwood Academy","Barnsley","S738FE",42.6,"625","611",-0.41,"S738","BARNSLEY","SOUTH YORKSHIRE"
139210,"Outwood Academy Carlton","Barnsley","S713EW",39.7,"592","519",-0.25,"S713","BARNSLEY","SOUTH YORKSHIRE"
139211,"Outwood Academy Shafton","Barnsley","S728RE",40.7,"705","677",-0.44,"S728","BARNSLEY","SOUTH YORKSHIRE"
106653,"Penistone Grammar School","Sheffield","S367BX",55.4,"955","938",0.33,"S367","BARNSLEY","SOUTH YORKSHIRE"
141563,"Springwell Special Academy","Barnsley","S712AY",6.4,"106","11",-1.42,"S712","BARNSLEY","SOUTH YORKSHIRE"
138314,"Armthorpe Academy","Doncaster","DN32DA",37.5,"347","299",-0.98,"DN32","DONCASTER","SOUTH YORKSHIRE"
137066,"Ash Hill Academy","DONCASTER","DN76JH",45,"403","401",0.25,"DN76","DONCASTER","SOUTH YORKSHIRE"
146370,"Astrea Academy Woodfields","Doncaster","DN48ND",32.6,"366","380",-0.68,"DN48","DONCASTER","SOUTH YORKSHIRE"
147864,"Bader Special Academy","Doncaster","DN32EW",10.2,"89","17",-2.08,"DN32","DONCASTER","SOUTH YORKSHIRE"
138116,"Campsmount Academy","Doncaster","DN69AS",40,"393","384",-0.22,"DN69","DONCASTER","SOUTH YORKSHIRE"
135942,"De Warenne Academy","Doncaster","DN123JY",46.2,"391","363",0.31,"DN12","DONCASTER","SOUTH YORKSHIRE"
137472,"Don Valley Academy","Doncaster","DN59DD",48.5,"552","547",0.42,"DN59","DONCASTER","SOUTH YORKSHIRE"
147838,"Doncaster UTC","Doncaster","DN13BF",48.1,"480","236",0.03,"DN13","DONCASTER","SOUTH YORKSHIRE"
137842,"Hall Cross Academy","Doncaster","DN12HY",49.9,"959","1032",0.55,"DN12","DONCASTER","SOUTH YORKSHIRE"
136672,"The Hayfield School","Doncaster","DN93HG",51.2,"519","542",0.63,"DN93","DONCASTER","SOUTH YORKSHIRE"
137899,"Hungerhill School","Doncaster","DN32JY",51.1,"546","626",0.41,"DN32","DONCASTER","SOUTH YORKSHIRE"
146639,"The Laurel Academy","Mexborough","S649SD",43.5,"353","352",0.17,"S649","DONCASTER","SOUTH YORKSHIRE"
140865,"The McAuley Catholic High School","Doncaster","DN33QF",45.6,"704","729",-0.06,"DN33","DONCASTER","SOUTH YORKSHIRE"
135963,"Outwood Academy Adwick","Doncaster","DN67SF",38.5,"535","573",-0.18,"DN67","DONCASTER","SOUTH YORKSHIRE"
143938,"Outwood Academy Danum","Doncaster","DN25QD",39.3,"587","580",-0.17,"DN25","DONCASTER","SOUTH YORKSHIRE"
137603,"Ridgewood School","Doncaster","DN57UB",45.6,"692","765",-0.26,"DN57","DONCASTER","SOUTH YORKSHIRE"
136675,"Rossington All Saints Academy","Not Yet Obtained","DN110BZ",48.2,"457","422",0.08,"DN11","DONCASTER","SOUTH YORKSHIRE"
144364,"Sir Thomas Wharton Academy","Doncaster","DN121HH",46.9,"540","561",-0.07,"DN12","DONCASTER","SOUTH YORKSHIRE"
135007,"Trinity Academy","Doncaster","DN85BY",41,"614","631",-0.49,"DN85","DONCASTER","SOUTH YORKSHIRE"
143916,"XP East","Doncaster","DN45NG",44.4,"156","135",-0.33,"DN45","DONCASTER","SOUTH YORKSHIRE"
140964,"XP School","Doncaster","DN45NG",44.9,"139","106",-0.12,"DN45","DONCASTER","SOUTH YORKSHIRE"
142768,"Abbey School","Rotherham","S612RA",10.3,"157","61",-0.97,"S612","ROTHERHAM","SOUTH YORKSHIRE"
136718,"Aston Academy","Sheffield","S264SF",44.1,"790","805",-0.29,"S264","ROTHERHAM","SOUTH YORKSHIRE"
136301,"Brinsworth Academy","Rotherham","S605EJ",43.1,"684","745",-0.22,"S605","ROTHERHAM","SOUTH YORKSHIRE"
143545,"Clifton Community School","Rotherham","S652SN",35,"554","530",-0.44,"S652","ROTHERHAM","SOUTH YORKSHIRE"
141730,"Dinnington High School","Sheffield","S252NZ",38.4,"503","504",-0.31,"S252","ROTHERHAM","SOUTH YORKSHIRE"
149188,"Elements Academy","Sheffield","S252NF",5.3,"137","33",-2.53,"S252","ROTHERHAM","SOUTH YORKSHIRE"
136042,"Maltby Academy","Rotherham","S668AB",44,"572","543",-0.13,"S668","ROTHERHAM","SOUTH YORKSHIRE"
106966,"Newman School","Rotherham","S603LX",1.8,"109","73",-2.18,"S603","ROTHERHAM","SOUTH YORKSHIRE"
140459,"Oakwood High School","Rotherham","S602UH",45.7,"517","544",-0.12,"S602","ROTHERHAM","SOUTH YORKSHIRE"
140553,"Rawmarsh Community School","Rotherham","S627GA",38.7,"555","539",-0.43,"S627","ROTHERHAM","SOUTH YORKSHIRE"
138329,"St Bernard's Catholic High School","Rotherham","S653BE",48.3,"393","417",0.32,"S653","ROTHERHAM","SOUTH YORKSHIRE"
106962,"Saint Pius X Catholic High School A Specialist School in Humanities","Rotherham","S637PQ",44.1,"338","355",-0.34,"S637","ROTHERHAM","SOUTH YORKSHIRE"
143141,"Swinton Academy","Mexborough","S648JW",39.6,"488","507",-0.21,"S648","ROTHERHAM","SOUTH YORKSHIRE"
148547,"Thrybergh Academy","Rotherham","S654BP",29.2,"281","253",-0.67,"S654","ROTHERHAM","SOUTH YORKSHIRE"
136331,"Wales High School","Sheffield","S265QQ",45.7,"921","912",-0.06,"S265","ROTHERHAM","SOUTH YORKSHIRE"
145848,"Wath Academy","Rotherham","S637NW",49.5,"985","1008",0.1,"S637","ROTHERHAM","SOUTH YORKSHIRE"
140646,"Wickersley School and Sports College","Rotherham","S661JL",48.9,"1021","1029",0.02,"S661","ROTHERHAM","SOUTH YORKSHIRE"
139992,"Wingfield Academy","Rotherham","S614AU",48,"550","444",0.42,"S614","ROTHERHAM","SOUTH YORKSHIRE"
141853,"Winterhill School","Rotherham","S612BD",40.4,"455","473",-0.05,"S612","ROTHERHAM","SOUTH YORKSHIRE"
138337,"All Saints' Catholic High School","Sheffield","S22RJ",46.3,"611","776",0.05,"S22R","SHEFFIELD","SOUTH YORKSHIRE"
107169,"Bents Green School","Sheffield","S117TB",4,"239","53",-1.41,"S117","SHEFFIELD","SOUTH YORKSHIRE"
143963,"The Birley Academy","Sheffield","S123BP",38.6,"563","528",-0.28,"S123","SHEFFIELD","SOUTH YORKSHIRE"
147788,"Bradfield School","Sheffield","S350AE",45.4,"548","532",-0.47,"S350","SHEFFIELD","SOUTH YORKSHIRE"
138414,"Chaucer School","Sheffield","S58NH",28,"433","389",-1.14,"S58N","SHEFFIELD","SOUTH YORKSHIRE"
135934,"E-Act Parkwood Academy","Sheffield","S58UL",36.3,"424","395",-0.42,"S58U","SHEFFIELD","SOUTH YORKSHIRE"
145191,"Ecclesfield School","Sheffield","S359WD",43.1,"898","832",-0.22,"S359","SHEFFIELD","SOUTH YORKSHIRE"
138925,"Fir Vale School","Sheffield","S48GB",25.5,"507","474",-1.09,"S48G","SHEFFIELD","SOUTH YORKSHIRE"
139334,"Firth Park Academy","Sheffield","S50SD",36.9,"615","574",-0.45,"S50S","SHEFFIELD","SOUTH YORKSHIRE"
140547,"Forge Valley School","Sheffield","S65HG",47.4,"744","766",-0.18,"S65H","SHEFFIELD","SOUTH YORKSHIRE"
141495,"Handsworth Grange Community Sports College","Sheffield","S139HJ",39.7,"545","455",-0.64,"S139","SHEFFIELD","SOUTH YORKSHIRE"
126705,"Heritage Park School","Sheffield","S22RU",6.1,"75","17",-1.21,"S22R","SHEFFIELD","SOUTH YORKSHIRE"
145455,"High Storrs School","Sheffield","S117LH",61.1,"849","811",0.87,"S117","SHEFFIELD","SOUTH YORKSHIRE"
139856,"Hinde House 2-16 Academy","Sheffield","S56AG",38.9,"768","646",-0.07,"S56A","SHEFFIELD","SOUTH YORKSHIRE"
126712,"Holgate Meadows School","Sheffield","S57WE",5.8,"60","13",-1.59,"S57W","SHEFFIELD","SOUTH YORKSHIRE"
149427,"Kenwood Academy","Sheffield","S71HQ",1.7,"101","75",-3.74,"S71H","SHEFFIELD","SOUTH YORKSHIRE"
138841,"King Ecgbert School","Sheffield","S173QU",56.4,"711","736",0.81,"S173","SHEFFIELD","SOUTH YORKSHIRE"
107140,"King Edward VII School","Sheffield","S102PW",48.9,"832","901",-0.12,"S102","SHEFFIELD","SOUTH YORKSHIRE"
138545,"Meadowhead School Academy Trust","Sheffield","S88BR",46.7,"884","1040",0.04,"S88B","SHEFFIELD","SOUTH YORKSHIRE"
145897,"Mercia School","Sheffield","S72DY",69.4,"439","473",2.09,"S72D","SHEFFIELD","SOUTH YORKSHIRE"
140821,"Newfield Secondary School","Sheffield","S89JP",44.6,"519","522",-0.19,"S89J","SHEFFIELD","SOUTH YORKSHIRE"
138361,"Notre Dame High School","Sheffield","S103BT",57.4,"697","790",0.69,"S103","SHEFFIELD","SOUTH YORKSHIRE"
140415,"Outwood Academy City","Sheffield","S138SS",38.8,"612","574",-0.51,"S138","SHEFFIELD","SOUTH YORKSHIRE"
131895,"Sheffield Park Academy","Sheffield","S21SN",36.7,"589","609",-0.65,"S21S","SHEFFIELD","SOUTH YORKSHIRE"
131896,"Sheffield Springs Academy","Sheffield","S122SF",33.7,"527","527",-0.62,"S122","SHEFFIELD","SOUTH YORKSHIRE"
139167,"Silverdale School","Sheffield","S119QH",57.9,"753","713",0.58,"S119","SHEFFIELD","SOUTH YORKSHIRE"
145274,"Stocksbridge High School","Sheffield","S361FD",41.6,"388","416",-0.77,"S361","SHEFFIELD","SOUTH YORKSHIRE"
138069,"Tapton School","Sheffield","S105RG",58.4,"872","945",0.54,"S105","SHEFFIELD","SOUTH YORKSHIRE"
139695,"UTC Sheffield City Centre","Sheffield","S14QF",40.4,"353","139",-1,"S14Q","SHEFFIELD","SOUTH YORKSHIRE"
145562,"Westfield School","Sheffield","S201HQ",43.9,"665","647",-0.21,"S201","SHEFFIELD","SOUTH YORKSHIRE"
145943,"Yewlands Academy","Sheffield","S358NN",41.4,"496","436",-0.35,"S358","SHEFFIELD","SOUTH YORKSHIRE"
145173,"Appleton Academy","Bradford","BD128AL",34.1,"647","602",-0.87,"BD12","BRADFORD","WEST YORKSHIRE"
143112,"Beckfoot Oakbank","Keighley","BD227DU",36,"752","794",-0.62,"BD22","BRADFORD","WEST YORKSHIRE"
139975,"Beckfoot School","Bingley","BD161EE",50.4,"805","826",0.42,"BD16","BRADFORD","WEST YORKSHIRE"
143114,"Beckfoot Thornton","Bradford","BD133BH",37.3,"716","574",-0.49,"BD13","BRADFORD","WEST YORKSHIRE"
142031,"Beckfoot Upper Heaton","Bradford","BD96AL",32.7,"471","245",-0.71,"BD96","BRADFORD","WEST YORKSHIRE"
135229,"Beechcliffe Special School","Keighley","BD206ED",0.4,"179","66",-1.87,"BD20","BRADFORD","WEST YORKSHIRE"
107439,"Bingley Grammar School","Bingley","BD162RS",48.9,"1028","904",-0.03,"BD16","BRADFORD","WEST YORKSHIRE"
135367,"Bradford Academy","Bradford","BD47QJ",33.1,"937","801",-0.94,"BD47","BRADFORD","WEST YORKSHIRE"
140429,"Bradford Forster Academy","Bradford","BD48RG",37,"484","490",-0.54,"BD48","LEEDS","WEST YORKSHIRE"
140204,"Bradford Girls' Grammar School","Bradford","BD96RB",46.9,"147","894",0.11,"BD96","BRADFORD","WEST YORKSHIRE"
142825,"Buttershaw Business & Enterprise College Academy","Bradford","BD63PX",33,"750","704",-0.83,"BD63","BRADFORD","WEST YORKSHIRE"
147100,"Carlton Bolling","Bradford","BD30DU",43,"928","712",0.27,"BD30","BRADFORD","WEST YORKSHIRE"
136198,"Carlton Keighley","Keighley","BD206EB",36.3,"381","381",-0.29,"BD20","BRADFORD","WEST YORKSHIRE"
147177,"Co-op Academy Grange","Bradford","BD59ET",30.5,"797","653",-1.2,"BD59","BRADFORD","WEST YORKSHIRE"
135866,"Dixons Allerton Academy","Bradford","BD80DH",43.4,"992","872",-0.22,"BD80","BRADFORD","WEST YORKSHIRE"
130909,"Dixons City Academy","Bradford","BD57RR",51.8,"541","378",0.33,"BD57","BRADFORD","WEST YORKSHIRE"
146198,"Dixons Cottingley Academy","Bingley","BD161TZ",50.1,"518","354",0.65,"BD16","BRADFORD","WEST YORKSHIRE"
137277,"Dixons Kings Academy","Bradford","BD72AN",53.4,"471","368",0.54,"BD72","BRADFORD","WEST YORKSHIRE"
141002,"Dixons McMillan Academy","Bradford","BD50JD",47.8,"375","285",-0.16,"BD50","BRADFORD","WEST YORKSHIRE"
138251,"Dixons Trinity Academy","Bradford","BD50BE",54.7,"347","320",0.72,"BD50","BRADFORD","WEST YORKSHIRE"
149011,"Hanson Academy","Bradford","BD21JP",35,"844","708",-0.69,"BD21","BRADFORD","WEST YORKSHIRE"
149299,"The Holy Family Catholic School, a Voluntary Academy","Keighley","BD206LH",34,"386","387",-0.59,"BD20","BRADFORD","WEST YORKSHIRE"
136905,"Ilkley Grammar School","Ilkley","LS298TR",56.5,"1069","1065",0.54,"LS29","BRADFORD","WEST YORKSHIRE"
142590,"Immanuel College","Bradford","BD109AQ",40.6,"884","818",-0.56,"BD10","BRADFORD","WEST YORKSHIRE"
142681,"Laisterdyke Leadership Academy","Bradford","BD38HE",35.8,"498","375",-0.43,"BD38","BRADFORD","WEST YORKSHIRE"
139995,"Oasis Academy Lister Park","Bradford","BD87ND",32.6,"528","314",-0.58,"BD87","BRADFORD","WEST YORKSHIRE"
149519,"Oastlers School","Bradford","BD47RH",14.4,"118","15",-1,"BD47","BRADFORD","WEST YORKSHIRE"
139474,"One In A Million Free School","Bradford","BD87DX",30.8,"222","146",-1.01,"BD87","BRADFORD","WEST YORKSHIRE"
150001,"Parkside School","Bradford","BD135AD",36.9,"603","541",-0.86,"BD13","BRADFORD","WEST YORKSHIRE"
148520,"St Bede's and St Joseph's Catholic College, A Voluntary Academy","Bradford","BD94BQ",45.5,"895","889",-0.15,"BD94","BRADFORD","WEST YORKSHIRE"
107395,"Titus Salt School","Bradford","BD175RH",39.1,"737","714",-0.58,"BD17","BRADFORD","WEST YORKSHIRE"
142761,"Tong Leadership Academy","Bradford","BD46NR",35.8,"445","343",-0.61,"BD46","BRADFORD","WEST YORKSHIRE"
148545,"Trinity Academy Bradford","Bradford","BD132AS",43.7,"460","425",-0.02,"BD13","BRADFORD","WEST YORKSHIRE"
136604,"Brighouse High School","Brighouse","HD62NY",44.7,"621","687",-0.24,"HD62","CALDERDALE","WEST YORKSHIRE"
149531,"The Brooksbank School","Elland","HX50QG",47.8,"785","748",0.18,"HX50","CALDERDALE","WEST YORKSHIRE"
107562,"The Calder Learning Trust","Hebden Bridge","HX75QN",47.6,"640","686",0,"HX75","CALDERDALE","WEST YORKSHIRE"
